Date,Event,Distance,Entered?,Result,Position
22-Sep-2013,<a href='http://www.thetriproject.co.uk/casestudies/view/thorpe-park-triathlon-2013'>Thorpe Park Triathlon</a>,750m/21k/5k,Yes,01:12:30,19/332
24-Mar-2014,<a href='http://www.trionium.com/leithhillhalf/inmain.html'>Leith Hill Half Marathon</a>,21.1k,Yes,01:48:59,54/22115-Apr-2014,<a href='http://www.hounslowanddistrictwheelers.co.uk/good-friday-25-18414/'>Good Friday 25M TT</a>,40k,Yes,01:06:20,??/??
01-Jun-2014,<a href='http://worldtrilondon.com'>ITU World Triathlon London</a>,1.5k/36k/10k,Yes,02:15:11,145/213717-Jun-2014,<a href='http://www.ironman.com/triathlon/events/emea/ironman-70.3/uk.aspx#axzz33YyxYM6e'>Ironman 70.3 UK</a>,1.9k/90k/21.1k,Yes,05:39:40,173/124609-Aug-2014,<a href='http://www.prudentialridelondon.co.uk/'>Ride London-Surrey 100</a>,138k,Yes,03:46:41,???/2070923-Aug-2014,<a href='http://www.wildboarevents.co.uk/onlineentries.html'>Little Woody</a>,1.9k/90k/21.1k,Yes,04:57:32,11/11523-Nov-2014,<a href='http://www.trionium.com/bathhillyhalf'>Bath Hilly Half</a>,22k,Yes,01:56:35,44/203
25-Jan-2015,<a href='http://www.tach.org.uk/races.php'>Moorland Multi-Terrain Race</a>,10k,Yes,00:47:33,27/20807-Mar-2015,<a href='http://www.ultrarunningltd.co.uk/green-man-ultra.html'>Green Man Ultra</a>,74k,Yes,09:11:37,64/22725-Apr-2015,<a href='http://www.mallorca312.com/'>Mallorca 312</a>,312k,Yes,10:54:48,328/143217-May-2015,<a href='http://imerystrailmarathon.co.uk/'>Imerys Trail Marathon</a>,42.2k,Yes,4:41:33,101/13531-May-2015,<a href='http://www.runbristol.com/Events/bristol-10k'>Bristol 10k</a>,10k,Yes,41:05,493/939814-Jun-2015,<a href='http://www.velothon-wales.co.uk/en/'>Velothon Wales</a>,140k,Yes,04:14:41,269/8774
28-Jun-2015,<a href='http://www.ironman.com/triathlon/events/emea/ironman-70.3/uk.aspx'>Ironman 70.3 UK</a>,1.9k/90k/21.1k,Yes,05:54:45,280/1562
23-Aug-2015,<a href='http://cotswoldclassic.com/'>Cotswold Classic</a>,1.9k/90k/21.1k,Yes,4:49:03,152/65015-May-2016,<a href='http://www.greatrun.org/'>Bristol 10k</a>,10k,Yes,41:20,400/9675
22-May-2016,<a href='http://www.velothon-wales.co.uk/en/'>Velothon Wales</a>,140k,Yes,4:07:43,169/8813
05-Jun-2016,<a href='http://www.tribristol.org//'>Bristol Triathlon</a>,1.5k/40k/10k,Yes,,
31-Jul-2016,<a href='http://www.communitymultisport.org/our-events/belfast-titanic-triathlon/'>Belfast Titanic Triathlon</a>,1.5k/38.6k/10k,Yes,,
04-Sep-2016,<a href='http://www.outdoorswimmingsociety.com/events?s&id=101'>Dart 10k swim</a>,10k,Yes,,
